iter	Passed	Remaining
841	3846	721
842	3850	717
843	3854	712
844	3857	707
845	3862	703
846	3866	698
847	3870	693
848	3874	689
849	3879	684
850	3884	680
851	3888	675
852	3892	670
853	3896	666
854	3900	661
855	3904	656
856	3908	652
857	3912	647
858	3915	642
859	3919	638
860	3923	633
861	860	3944	862	861	3948	863	862	3952	864	863	3955	865	864	3960	866	865	3963	867	866	3967	868	867	3970	869	868	3974	870	869	3979	871	870	3984	872	3973	578
873	3977	573
874	3981	568
875	3984	564
876	875	4005	877	876	4009	878	877	4013	879	878	4018	880	879	4023	881	880	4027	882	881	4032	883	882	4037	534
883	4042	530
884	4047	525
885	4051	521
886	4056	516
887	4062	512
888	4065	507
889	4070	503
890	4074	498
891	4079	493
892	4084	489
893	4090	485
894	4094	480
895	4098	475
896	4102	471
897	4106	466
898	4110	461
899	4115	457
900	4119	452
901	4123	448
902	4128	443
903	4133	438
904	4138	434
905	4142	429
906	4146	425
907	4150	420
908	4154	415
909	4158	411
910	4162	406
911	4166	401
912	4170	397
913	4174	392
914	4178	388
915	4182	383
916	4186	378
917	4190	374
918	4194	369
919	4198	365
920	4202	360
921	4208	355
922	4211	351
923	4215	346
924	4219	342
925	4223	337
926	4227	332
927	4231	328
928	4235	323
929	4238	319
930	4242	314
931	4246	309
932	4249	305
933	4253	300
934	4256	295
935	4259	291
936	4263	286
937	4266	282
938	4269	940	939	4273	941	940	4277	942	941	4280	943	942	4283	944	943	4286	945	944	4290	946	945	4293	947	946	4296	948	947	4300	949	4289	225
950	4294	221
951	4297	216
952	4301	212
953	4306	207
954	4310	203
955	4314	198
956	4319	194
957	4321	189
958	4326	184
959	4329	180
960	4334	175
961	4338	171
962	4341	166
963	4346	162
964	4350	157
965	4353	153
966	4358	148
967	4363	144
968	4366	139
969	4370	135
970	4373	130
971	4378	126
972	4382	121
973	4384	117
974	4388	112
975	4392	108
976	4395	103
977	4399	98
978	4403	94
979	4407	89
980	4411	85
981	4414	80
982	4417	76
983	4421	71
984	4425	67
985	4428	62
986	4431	58
987	4434	53
988	4440	49
989	4443	44
990	4448	40
991	4451	35
992	4454	31
993	4458	26
994	4462	22
995	4466	17
996	4469	13
997	4472	8
998	4476	4
999	4479	0
85	0

999	4482	0
